2024-06-16 15:45:01.981 INFO  org.hibernate.validator.internal.util.Version      21   background-preinit                     HV000001: Hibernate Validator 8.0.1.Final
2024-06-16 15:45:02.013 INFO  com.hasity.business.BusinessApplication            50   restartedMain                     Starting BusinessApplication using Java 17.0.7 with PID 9844 (D:\BaiduNetdiskDownload\nls\business\target\classes started by zjw16 in D:\BaiduNetdiskDownload\nls)
2024-06-16 15:45:02.014 INFO  com.hasity.business.BusinessApplication            654  restartedMain                     No active profile set, falling back to 1 default profile: "default"
2024-06-16 15:45:02.048 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor  252  restartedMain                     Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-16 15:45:02.049 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor  252  restartedMain                     For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-16 15:45:03.180 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       109  restartedMain                     Tomcat initialized with port 18000 (http)
2024-06-16 15:45:03.188 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Initializing ProtocolHandler ["http-nio-18000"]
2024-06-16 15:45:03.190 INFO  org.apache.catalina.core.StandardService           173  restartedMain                     Starting service [Tomcat]
2024-06-16 15:45:03.190 INFO  org.apache.catalina.core.StandardEngine            173  restartedMain                     Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-16 15:45:03.231 INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/nls]  173  restartedMain                     Initializing Spring embedded WebApplicationContext
2024-06-16 15:45:03.231 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     296  restartedMain                     Root WebApplicationContext: initialization completed in 1182 ms
2024-06-16 15:45:04.118 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer     59   restartedMain                     LiveReload server is running on port 35729
2024-06-16 15:45:04.132 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Starting ProtocolHandler ["http-nio-18000"]
2024-06-16 15:45:04.149 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       241  restartedMain                     Tomcat started on port 18000 (http) with context path '/nls'
2024-06-16 15:45:04.157 INFO  com.hasity.business.BusinessApplication            56   restartedMain                     Started BusinessApplication in 2.53 seconds (process running for 3.099)
2024-06-16 15:45:04.160 INFO  com.hasity.business.BusinessApplication            18   restartedMain                     启动成功! 
2024-06-16 15:45:04.160 INFO  com.hasity.business.BusinessApplication            19   restartedMain                     测试地址: http://localhost:18000/nls/hello
